CASE NUMBER,SR LOCATION,COUNTY,DISTRICT,NEIGHBORHOOD,TAX ID,TRASH QUAD,RECYCLE QUAD,TRASH DAY,HEAVY TRASH DAY,RECYCLE DAY,KEY MAP,MANAGEMENT DISTRICT,DEPARTMENT,DIVISION,SR TYPE,QUEUE,SLA,STATUS,SR CREATE DATE,DUE DATE,DATE CLOSED,OVERDUE,Title,x,y,LATITUDE,LONGITUDE,Channel Type
12429708-101004052476,"17019 SHANNON LAKE, HOUSTON TX 77044",HARRIS,E,LAKE HOUSTON,1355650020021,,,,,,377H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-05-24 19:13:04,2020-05-28 19:13:04,2020-05-26 11:04:18,-2.34,Flooding,,,29.96928727,-95.16152587,WEB
12429710-101004052498,"9514 MOORBERRY, HOUSTON TX 77080",Harris,A,SPRING BRANCH NORTH,1001970000002,NW,NE,FRIDAY,4th Friday,FRIDAY-A,450P,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-05-24 19:49:55,2020-05-28 19:49:55,2020-05-26 09:59:19,-2.41,Flooding,,,29.81537729,-95.53372053,WEB
12429715-101004052539,"4908 WESTPARK, HOUSTON TX 77056",Harris,J,GULFTON,0681090000018,,,,,,491Y,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-05-24 20:27:30,2020-05-28 20:27:30,2020-05-26 09:04:18,-2.47,Flooding-101004052539,3091427.47054000000,13828627.53156000000,29.72633143,-95.46139164,Voice In
12429717-101004052591,"9522 MOORBERRY, HOUSTON TX 77080",Harris,A,SPRING BRANCH NORTH,1001950000011,NW,NE,FRIDAY,4th Friday,FRIDAY-A,450P,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-05-25 00:06:23,2020-05-29 00:06:23,2020-05-26 10:04:18,-2.58,Flooding - 402644,-95.53414000000,29.81524000000,29.81507615,-95.53402692,WAP
12429807-101004053781,Intersection 6500 NORTH FWY&100 W PARKER RD,Harris County,H,NORTHSIDE/NORTHLINE,,,,,,,412Z,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-05-26 11:04:40,2020-05-30 11:04:40,2020-05-27 07:34:19,-3.15,Flooding-101004053781,3108737.29813000000,13877622.05365000000,29.85955059,-95.40213017,Voice In
12429920-101004055216,"3306 GROVE TERRACE, HOUSTON TX 77345",Harris,E,KINGWOOD AREA,1147350160007,,,,,,297X,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-05-27 08:54:40,2020-05-31 08:54:40,2020-05-29 12:14:18,-1.86,Flooding,,,30.06185099,-95.17943178,WEB
12430061-101004056632,"2906 WICHITA, HOUSTON TX 77004",Harris,D,MACGREGOR,0193100000003,SE,SW,TUESDAY,3rd Friday,TUESDAY-A,533C,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-05-27 18:31:12,2020-05-31 18:31:12,2020-05-27 18:49:18,-3.99,Flooding - 403127,-95.37054000000,29.71920000000,29.71914503,-95.37046704,WAP
12430100-101004056944,Intersection 1000 HOLCOMBE BLVD&2100 W HOLCOMBE BLVD&6800 MAIN ST,Harris County,C,MEDICAL CENTER AREA,,,,,3rd Monday,,532H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-05-27 23:42:58,2020-05-31 23:42:58,2020-05-28 05:49:19,-3.75,Flooding-101004056944,3109520.07149000000,13821872.18451000000,29.70624538,-95.40506738,Voice In
12430126-101004057129,"6060 VICTORY, HOUSTON TX 77088",Harris,A,GREATER INWOOD,0991100000064,,,,,,411T,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-05-28 07:16:10,2020-06-01 07:16:10,2020-05-29 13:04:18,-2.76,Flooding - 403233,-95.48040000000,29.86589000000,29.86603619,-95.48021181,WAP
12430434-101004061613,Intersection 1000 HOLCOMBE BLVD&2100 W HOLCOMBE BLVD&6800 MAIN ST,Harris County,C,MEDICAL CENTER AREA,,,,,3rd Monday,,532H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-05-31 14:57:56,2020-06-04 14:56:00,2020-06-01 05:49:19,-3.38,Flooding-101004061613,3109520.07149000000,13821872.18451000000,29.70624538,-95.40506738,Voice In
12430450-101004061706,Intersection 100 75TH ST&100 S 75TH ST&7500 HARRISBURG BLVD,Harris County,I,MAGNOLIA PARK,,SE,SE,,1st Thursday,MONDAY-A,495W,East End MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-05-31 18:42:29,2020-06-04 18:42:29,2020-06-01 11:04:19,-3.32,Flooding-101004061706,3145043.91154000000,13832551.41545000000,29.73254977,-95.29215235,Voice In
12430466-101004061830,"2419 RIVERSIDE, HOUSTON TX 77004",Harris,D,MACGREGOR,0611250000024,SE,SW,TUESDAY,3rd Friday,TUESDAY-A,533B,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-01 00:08:45,2020-06-05 00:08:45,2020-06-01 09:09:18,-3.62,Flooding - 403799,-95.37731000000,29.71677000000,29.7169707,-95.37697717,WAP
12430478-101004061857,"5602 RIDGEWAY, HOUSTON TX 77033",Harris,D,SOUTH PARK,0790290060001,SE,SE,FRIDAY,4th Wednesday,FRIDAY-A,534W,HCID #10-A,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-01 00:09:43,2020-06-05 00:09:43,2020-06-01 00:49:18,-3.97,Flooding - 403843,-95.33939000000,29.66953000000,29.66949068,-95.33935421,WAP
12430484-101004061892,Intersection 1000 HOLCOMBE BLVD&2100 W HOLCOMBE BLVD&6800 MAIN ST,Harris County,C,MEDICAL CENTER AREA,,,,,3rd Monday,,532H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-01 03:45:21,2020-06-05 03:45:16,2020-06-01 10:59:19,-3.70,Flooding-101004061892,3109520.07149000000,13821872.18451000000,29.70624538,-95.40506738,Voice In
12430556-101004062703,"215 HEIGHTS, HOUSTON TX 77007",Harris,C,WASHINGTON AVENUE COALITION / MEMORIAL P,1329100010001,,,,,,492H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-01 13:15:57,2020-06-05 13:15:57,2020-06-02 11:29:18,-3.07,Flooding - 403919,-95.39868000000,29.77451000000,29.77460687,-95.39829815,WAP
12430612-101004063534,"325 MAPLE VALLEY, HOUSTON TX 77056",Harris,G,GREATER UPTOWN,0832600000001,,,,,,491K,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-02 00:05:45,2020-06-06 00:05:45,2020-06-02 15:14:18,-3.37,Flooding - 403913,-95.47507000000,29.76645000000,29.76664003,-95.4749614,WAP
12431062-101004068298,"1344 YALE, HOUSTON TX 77008",Harris,C,GREATER HEIGHTS,0201670000023,NW,NE,THURSDAY,3rd Wednesday,THURSDAY-B,452Z,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-05 00:06:31,2020-06-09 00:06:30,2020-06-05 08:34:19,-3.65,Flooding - 404237,-95.39906000000,29.79587000000,29.79595892,-95.39888657,WAP
12431617-101004085693,"3013 SAUER, HOUSTON TX 77004",Harris,D,GREATER THIRD WARD,0510320000001,SE,SW,TUESDAY,3rd Friday,TUESDAY-A,493Z,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-10 15:05:34,2020-06-14 15:05:34,2020-06-11 08:59:18,-3.25,Flooding,,,29.73262531,-95.35876444,Unknown
101004111191,"4050 ABERDEEN, HOUSTON TX 77025",Harris,C,BRAESWOOD,0730040220021,SW,SE,TUESDAY,3rd Tuesday,TUESDAY-B,532J,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-15 11:10:50,2020-06-19 11:10:50,2020-06-15 13:52:32,-3.89,Flooding,,,29.69827963,-95.44292901,WEB
12432161-101004114084,"8100 CAMBRIDGE, HOUSTON TX 77054",Harris,K,ASTRODOME AREA,1141810090012,,,,,,533N,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-17 00:17:14,2020-06-21 00:17:14,2020-06-17 02:09:18,-3.92,Flooding - 406202,-95.39357000000,29.68879000000,29.68767758,-95.39375521,WAP
12432232-101004115024,"10055 RUFFINO, HOUSTON TX 77031",Harris,J,BRAYS OAKS,0730210090028,SW,SW,THURSDAY,2nd Friday,THURSDAY-A,569D,HCID #5 (Brays Oaks),PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-17 13:34:31,2020-06-21 13:34:31,2020-06-17 14:29:18,-3.96,Flooding,,,29.65574368,-95.55438235,Unknown
12432482-101004119247,"5523 TURTLE CREEK, HOUSTON TX 77017",Harris,E,MEADOWBROOK / ALLENDALE,0835370000027,SE,SE,MONDAY,2nd Monday,MONDAY-B,536S,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-20 15:21:24,2020-06-24 15:21:24,2020-06-22 08:29:18,-2.29,Flooding-101004119247,3162700.26664000000,13814605.43133000000,29.6816723,-95.23836537,Voice In
12432565-101004120340,Intersection 1000 HOLCOMBE BLVD&2100 W HOLCOMBE BLVD&6800 MAIN ST,Harris County,C,MEDICAL CENTER AREA,,,,,3rd Monday,,532H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-22 10:52:20,2020-06-26 10:52:19,2020-06-22 16:49:18,-3.75,Flooding-101004120340,3109520.07149000000,13821872.18451000000,29.70624538,-95.40506738,Voice In
12432569-101004120366,"504 ENID, HOUSTON TX 77009",Harris,H,GREATER HEIGHTS,0330860000005,NW,NW,THURSDAY,1st Friday,THURSDAY-A,453X,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-22 10:58:40,2020-06-26 10:58:40,2020-06-22 12:54:19,-3.92,Flooding-101004120366,3117983.00896000000,13854594.23324000000,29.79547037,-95.37522649,Voice In
12432581-101004120454,"4715 HIGH POINT, HOUSTON TX 77053",Harris,K,CENTRAL SOUTHWEST,0960160000005,SW,SW,FRIDAY,4th Thursday,FRIDAY-B,571V,Five Corners HCID #10B,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-22 11:32:09,2020-06-26 11:32:09,2020-06-22 16:19:18,-3.80,Flooding-101004120454,3096515.67952000000,13785384.80998000000,29.60704127,-95.449503,Voice In
12432608-101004120604,"6150 RICHMOND, HOUSTON TX 77057",Harris,J,MID WEST,0690430000097,,,,,,491W,Harris County PID#2,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-22 12:25:50,2020-06-26 12:25:50,2020-06-22 14:54:18,-3.90,Flooding-101004120604,3082804.01896000000,13830497.44974000000,29.73218612,-95.48837289,Voice In
12432632-101004120769,Intersection 8500 GALVESTON RD&4900 S SHAVER ST,Harris County,E,SOUTH BELT / ELLINGTON,,,,,,,576L,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-22 13:36:46,2020-06-26 13:36:45,2020-06-22 15:19:18,-3.93,Flooding,,,29.63696482,-95.21100612,WEB
12432657-101004121000,"7402 W FUQUA, HOUSTON TX 77489",Fort Bend,K,FORT BEND HOUSTON,2150050160520907,SW,SW,FRIDAY,3rd Friday,FRIDAY-A,570Z,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-22 15:18:36,2020-06-26 15:18:36,2020-06-22 16:24:18,-3.95,Flooding-101004121000,3081512.57764000000,13782057.53973000000,29.59913909,-95.49701133,Voice In
12432666-101004121154,Intersection 6500 NORTH FWY&100 W PARKER RD,Harris County,H,NORTHSIDE/NORTHLINE,,,,,,,412Z,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-22 16:17:12,2020-06-26 16:17:12,2020-06-23 11:14:18,-3.21,Flooding,,,29.85955059,-95.40213017,Unknown
12432695-101004121552,"7545 BELLERIVE, HOUSTON TX 77036",Harris,J,SHARPSTOWN,1005610000019,,,,,,530C,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-23 00:05:58,2020-06-27 00:05:58,2020-06-23 11:09:18,-3.54,Flooding - 406993,-95.51808000000,29.71299000000,29.71283259,-95.51782754,WAP
12432697-101004121556,"630 CARRIAGE VIEW, HOUSTON TX 77336",Harris,E,LAKE HOUSTON,1337210020016,NE,NE,TUESDAY,2nd Wednesday,TUESDAY-A,298X,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-23 00:06:12,2020-06-27 00:06:11,2020-06-23 14:54:18,-3.38,Flooding - 406999,-95.12940000000,30.06325000000,30.06295417,-95.12936284,WAP
12432703-101004121576,"5922 AIRPORT, HOUSTON TX 77048",Harris,D,MINNETEX,0440380000152,SE,SE,FRIDAY,4th Tuesday,FRIDAY-B,574F,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-23 00:06:53,2020-06-27 00:06:53,2020-06-23 15:19:18,-3.37,Flooding - 407057,-95.32741000000,29.64437000000,29.64348167,-95.32584168,WAP
12432721-101004121732,"6654 W FUQUA, HOUSTON TX 77489",Fort Bend,K,FORT BEND HOUSTON,2150010115900907,SW,SW,FRIDAY,3rd Friday,FRIDAY-A,571W,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-23 07:23:04,2020-06-27 07:23:04,2020-06-24 09:14:19,-2.92,Flooding-101004121732,3084977.91946000000,13782243.72374000000,29.59936504,-95.4860938,Voice In
12432841-101004123422,"1527 HEIGHTS, HOUSTON TX 77008",Harris,C,GREATER HEIGHTS,0201370000006,NW,NE,THURSDAY,3rd Wednesday,THURSDAY-B,453W,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-24 00:06:19,2020-06-28 00:06:19,2020-06-24 01:04:18,-3.96,Flooding - 407110,-95.39789000000,29.79881000000,29.79902549,-95.3982398,WAP
12432855-101004123549,Intersection 6100 AIRPORT BLVD&10600 LINNET LN,Harris County,D,MINNETEX,,SE,SE,,4th Tuesday,FRIDAY-B,574F,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-24 07:23:03,2020-06-28 07:23:03,2020-06-24 13:44:18,-3.74,Flooding-101004123549,3136473.86011000000,13800596.48067000000,29.64545964,-95.32230853,Voice In
12432858-101004123576,Intersection 1000 HOLCOMBE BLVD&2100 W HOLCOMBE BLVD&6800 MAIN ST,Harris County,C,MEDICAL CENTER AREA,,,,,3rd Monday,,532H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-24 07:53:35,2020-06-28 07:53:34,2020-06-24 09:19:18,-3.94,Flooding-101004123576,3109520.07149000000,13821872.18451000000,29.70624538,-95.40506738,Voice In
12432860-101004123623,"4727 LOTUS, HOUSTON TX 77045",Harris,K,CENTRAL SOUTHWEST,0964880000010,SW,SW,FRIDAY,4th Monday,FRIDAY-B,571M,Five Corners HCID #10B,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-24 08:31:54,2020-06-28 08:31:54,2020-06-25 09:44:18,-2.95,Flooding-101004123623,3095413.02195000000,13795280.81742000000,29.63433583,-95.45202689,Voice In
12432907-101004124204,"1660 W LAKE HOUSTON, HOUSTON TX 77339",Harris,E,KINGWOOD AREA,1193780010003,,,,,,337L,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-24 13:01:57,2020-06-28 13:01:57,2020-06-24 13:19:18,-3.99,Flooding - 407329,-95.17446000000,30.03186000000,30.03184824,-95.17392639,WAP
12432981-101004124973,"2111 SPRING, HOUSTON TX 77007",Harris,H,WASHINGTON AVENUE COALITION / MEMORIAL P,1297120020004,NW,NW,MONDAY,1st Wednesday,MONDAY-A,493F,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-25 00:05:35,2020-06-29 00:05:34,2020-06-25 15:19:18,-3.37,Flooding - 407301,-95.38065000000,29.77505000000,29.77501268,-95.38029107,WAP
12433000-101004125079,Intersection 4300 BRITTMOORE RD&11800 CLAY RD,Harris County,A,WESTBRANCH,,,,,,,449G,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-25 07:07:13,2020-06-29 07:07:12,2020-06-25 12:19:18,-3.78,Flooding-101004125079,3055852.52561000000,13865962.47723000000,29.83187091,-95.56998183,Voice In
12433013-101004125127,"504 ENID, HOUSTON TX 77009",Harris,H,GREATER HEIGHTS,0330860000005,NW,NW,THURSDAY,1st Friday,THURSDAY-A,453X,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-25 08:03:26,2020-06-29 08:03:26,2020-06-25 13:59:21,-3.75,Flooding-101004125127,3117983.00896000000,13854594.23324000000,29.79547037,-95.37522649,Voice In
12433014-101004125130,Intersection 2300 BARKER CYPRESS RD&18000 SAUMS RD,Harris County,A,ADDICKS PARK TEN,,,,,,,447S,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-25 08:05:30,2020-06-29 08:03:00,2020-06-25 11:44:18,-3.85,Flooding-101004125130,3018625.72769000000,13853415.99937000000,29.80033307,-95.68846902,Voice In
12433017-101004125150,"6060 VICTORY, HOUSTON TX 77088",Harris,A,GREATER INWOOD,0991100000064,,,,,,411T,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-25 08:29:13,2020-06-29 08:29:13,2020-06-26 11:39:18,-2.87,Flooding-101004125150,3083928.23849000000,13879226.43594000000,29.86603619,-95.48021181,Voice In
12433046-101004125279,"11000 HIRSCH, HOUSTON TX 77016",Harris,B,EAST LITTLE YORK / HOMESTEAD,0420540000180,NE,NE,TUESDAY,2nd Thursday,TUESDAY-A,414V,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-25 09:39:36,2020-06-29 09:39:35,2020-06-26 10:44:17,-2.96,Flooding-101004125279,3137112.91362000000,13884462.19056000000,29.87592108,-95.31197284,Voice In
12433056-101004125357,"4710 AFTONSHIRE, HOUSTON TX 77027",Harris,G,AFTON OAKS / RIVER OAKS AREA,1501230010001,NW,SW,MONDAY,4th Wednesday,MONDAY-A,491V,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-25 10:12:29,2020-06-29 10:12:29,2020-06-25 14:04:18,-3.84,Flooding-101004125357,3092962.17416000000,13832382.71697000000,29.73652579,-95.45619992,Voice In
12433061-101004125378,"4225 CAPLIN, HOUSTON TX 77026",Harris,B,TRINITY / HOUSTON GARDENS,0660090010096,NE,NW,THURSDAY,2nd Friday,THURSDAY-A,454P,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-25 10:20:01,2020-06-29 10:20:01,2020-06-25 14:19:18,-3.83,Flooding-101004125378,3132863.74790000000,13862389.64547000000,29.81562065,-95.32756063,Voice In
12433072-101004125429,"1221 REDFORD, HOUSTON TX 77034",Harris,E,EDGEBROOK AREA,1143160000004,,,,,,576E,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-25 10:38:45,2020-06-29 10:38:44,2020-06-26 10:39:18,-3.00,Flooding-101004125429,3162423.21405000000,13801022.63336000000,29.64436235,-95.2406123,Voice In
12433106-101004125717,Intersection 7800 FUQUA ST&10500 GULF MEADOWS DR&10600 LEITZ RD,Harris County,D,GREATER HOBBY AREA,,SE,SE,,4th Monday,FRIDAY-B,575T,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-25 12:37:13,2020-06-29 12:37:12,2020-06-26 10:34:18,-3.09,Flooding-101004125717,3149642.82754000000,13788719.30331000000,29.61166762,-95.28205868,Voice In
12433123-101004125870,"5901 LAURA KOPPE, HOUSTON TX 77016",Harris,B,TRINITY / HOUSTON GARDENS,0700530100001,NE,NW,TUESDAY,2nd Tuesday,TUESDAY-A,454H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-25 13:50:02,2020-06-29 13:50:02,2020-06-26 10:29:18,-3.14,Flooding-101004125870,3137672.68022000000,13871734.37645000000,29.84088939,-95.31147388,Voice In
12433189-101004126655,"5405 MESA, HOUSTON TX 77028",Harris,B,EAST HOUSTON,0410150090070,,,,,,455U,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-26 01:08:38,2020-06-30 01:06:00,2020-06-26 07:24:18,-3.74,Flooding-101004126655,3153618.93343000000,13861350.36671000000,29.81095619,-95.26224703,Voice In
12433191-101004126657,"9701 LAWNDALE, HOUSTON TX 77017",Harris,E,MEADOWBROOK / ALLENDALE,0402030000040,,,,,,535H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-26 01:12:14,2020-06-30 01:10:00,2020-06-26 10:34:18,-3.61,Flooding-101004126657,3157105.12757000000,13824839.38428000000,29.71029548,-95.25494561,Voice In
12433218-101004126851,"4726 LOTUS, HOUSTON TX 77045",Harris,K,CENTRAL SOUTHWEST,0964900000009,SW,SW,FRIDAY,4th Monday,FRIDAY-B,571M,Five Corners HCID #10B,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-26 08:49:47,2020-06-30 08:49:47,2020-07-01 10:29:19,1.07,Flooding-101004126851,3095296.21379000000,13795458.42172000000,29.63483378,-95.45237747,Voice In
12433368-101004129032,"9701 LAWNDALE, HOUSTON TX 77017",Harris,E,MEADOWBROOK / ALLENDALE,0402030000040,,,,,,535H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-06-28 06:14:39,2020-07-02 06:13:00,2020-06-29 05:49:19,-3.02,Flooding-101004129032,3157105.12757000000,13824839.38428000000,29.71029548,-95.25494561,Voice In
12433692-101004133787,"7610 COACHWOOD, HOUSTON TX 77071",Harris,K,BRAYS OAKS,1107860000016,SW,SW,THURSDAY,3rd Thursday,THURSDAY-A,570C,HCID #5 (Brays Oaks),PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-07-01 11:54:10,2020-07-05 11:54:10,2020-07-02 10:19:20,-3.07,Flooding-101004133787,3076308.49487000000,13801314.27943000000,29.65250118,-95.51157317,Voice In
12433692-101004133794,"7610 COACHWOOD, HOUSTON TX 77071",Harris,K,BRAYS OAKS,1107860000016,SW,SW,THURSDAY,3rd Thursday,THURSDAY-A,570C,HCID #5 (Brays Oaks),PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-07-01 11:56:57,2020-07-05 11:56:57,2020-07-01 11:57:55,-4.00,Flooding-101004133794,3076308.49487000000,13801314.27943000000,29.65250118,-95.51157317,Voice In
12433902-101004136485,"5405 MESA, HOUSTON TX 77028",Harris,B,EAST HOUSTON,0410150090070,,,,,,455U,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-07-03 00:11:06,2020-07-07 00:08:00,2020-07-06 07:49:18,-0.68,Flooding-101004136485,3153618.93343000000,13861350.36671000000,29.81095619,-95.26224703,Voice In
12434015-101004138127,"11807 STALLION, HOUSTON TX 77071",Harris,K,BRAYS OAKS,1107830000002,SW,SW,THURSDAY,3rd Thursday,THURSDAY-A,570C,HCID #5 (Brays Oaks),PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-07-05 22:58:06,2020-07-09 22:58:06,2020-07-06 09:09:18,-3.58,Flooding,,,29.65107707,-95.51144881,WEB
12434172-101004140378,"7136 FOSTER, HOUSTON TX 77021",Harris,D,GREATER OST / SOUTH UNION,0332280540013,SE,SW,TUESDAY,3rd Tuesday,TUESDAY-A,533R,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-07-07 10:59:40,2020-07-11 10:59:40,2020-07-07 11:34:18,-3.98,Flooding,,,29.68476643,-95.35747718,Unknown
12434612-101004147337,"620 HAWTHORNE, HOUSTON TX 77006",Harris,C,NEARTOWN - MONTROSE,0261360000016,NW,NW,MONDAY,1st Wednesday,MONDAY-A,493S,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-07-13 00:06:27,2020-07-17 00:06:26,2020-07-13 00:29:18,-3.98,Flooding - 410035,-95.38755000000,29.74243000000,29.74252363,-95.38738791,WAP
12434792-101004150545,"3634 NOAH, HOUSTON TX 77021",Harris,D,GREATER OST / SOUTH UNION,0741510370009,SE,SW,TUESDAY,3rd Tuesday,TUESDAY-A,533Q,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-07-14 16:51:27,2020-07-18 16:51:26,2020-07-15 14:29:19,-3.10,Flooding-101004150545,3120875.82076000000,13814485.56641000000,29.684977,-95.37003459,Voice In
12434829-101004150978,"4702 COKE, HOUSTON TX 77020",Harris,B,GREATER FIFTH WARD,1271170010001,NE,NW,FRIDAY,1st Thursday,FRIDAY-B,494L,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-07-15 01:01:10,2020-07-19 01:01:10,2020-07-15 01:34:18,-3.98,Flooding - 410396,-95.32331000000,29.76797000000,29.76789108,-95.32308997,WAP
12434941-101004172554,"710 RUTLAND, HOUSTON TX 77007",Harris,C,GREATER HEIGHTS,0202590000041,NW,NE,THURSDAY,3rd Wednesday,THURSDAY-B,492D,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-07-16 00:06:14,2020-07-20 00:06:14,2020-07-16 00:39:19,-3.98,Flooding - 410523,-95.40090000000,29.78342000000,29.78355343,-95.40074873,WAP
12435057-101004174667,"1603 COHN, HOUSTON TX 77007",Harris,C,WASHINGTON AVENUE COALITION / MEMORIAL P,1346800010003,NW,NW,MONDAY,1st Wednesday,MONDAY-A,492G,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-07-17 11:14:35,2020-07-21 11:14:35,2020-07-20 15:19:18,-0.83,Flooding-101004174667,3103365.23800000000,13846634.62613000000,29.7748296,-95.42206079,Voice In
12435060-101004174698,Intersection 1600 W CLAY ST&1100 ROCHOW ST,Harris County,C,NEARTOWN - MONTROSE,,NW,NE,,1st Wednesday,MONDAY-A,492R,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-07-17 11:29:54,2020-07-21 11:29:54,2020-07-20 14:04:19,-0.89,Flooding,,,29.75529098,-95.40023039,WEB
